postalCode,province,mostRecentPriceAmount,yearBuilt,mostRecentRentalPriceAmount,numBathroom,address,numBedroom,city
A1B1C1,BC,205000,1991,1020,2,1 Queen St,2,Ottawa
A2B2C2,AB,210000,1992,1040,3,2 Main St,3,Mississauga
A3B3C3,QC,215000,1993,1060,1,3 Bay St,4,Vancouver
A4B4C4,MB,220000,1994,1080,2,4 Maple St,5,Calgary
A5B5C5,NS,225000,1995,1100,3,5 Pine St,1,Edmonton
A6B6C6,ON,230000,1996,1120,1,6 Cedar St,2,Montreal
A7B7C7,BC,235000,1997,1140,2,7 Elm St,3,Winnipeg
A8B8C8,AB,240000,1998,1160,3,8 Lake St,4,Quebec
A9B9C9,QC,245000,1999,1180,1,9 Hill St,5,Halifax
A0B0C0,MB,250000,2000,1200,2,10 King St,1,Toronto
A1B1C1,NS,255000,2001,1220,3,11 Queen St,2,Ottawa
A2B2C2,ON,260000,2002,1240,1,12 Main St,3,Mississauga
A3B3C3,BC,265000,2003,1260,2,13 Bay St,4,Vancouver
A4B4C4,AB,270000,2004,1280,3,14 Maple St,5,Calgary
A5B5C5,QC,275000,2005,1300,1,15 Pine St,1,Edmonton
A6B6C6,MB,280000,2006,1320,2,16 Cedar St,2,Montreal
A7B7C7,NS,285000,2007,1340,3,17 Elm St,3,Winnipeg
A8B8C8,ON,290000,2008,1360,1,18 Lake St,4,Quebec
A9B9C9,BC,295000,2009,1380,2,19 Hill St,5,Halifax
A0B0C0,AB,300000,2010,1400,3,20 King St,1,Toronto
A1B1C1,QC,305000,2011,1420,1,21 Queen St,2,Ottawa
A2B2C2,MB,310000,2012,1440,2,22 Main St,3,Mississauga
A3B3C3,NS,315000,2013,1460,3,23 Bay St,4,Vancouver
A4B4C4,ON,320000,2014,1480,1,24 Maple St,5,Calgary
A5B5C5,BC,325000,2015,1500,2,25 Pine St,1,Edmonton
A6B6C6,AB,330000,2016,1520,3,26 Cedar St,2,Montreal
A7B7C7,QC,335000,2017,1540,1,27 Elm St,3,Winnipeg
A8B8C8,MB,340000,2018,1560,2,28 Lake St,4,Quebec
A9B9C9,NS,345000,2019,1580,3,29 Hill St,5,Halifax
A0B0C0,ON,350000,1990,1600,1,30 King St,1,Toronto
A1B1C1,BC,355000,1991,1620,2,31 Queen St,2,Ottawa
A2B2C2,AB,360000,1992,1640,3,32 Main St,3,Mississauga
A3B3C3,QC,365000,1993,1660,1,33 Bay St,4,Vancouver
A4B4C4,MB,370000,1994,1680,2,34 Maple St,5,Calgary
A5B5C5,NS,375000,1995,1700,3,35 Pine St,1,Edmonton
A6B6C6,ON,380000,1996,1720,1,36 Cedar St,2,Montreal
A7B7C7,BC,385000,1997,1740,2,37 Elm St,3,Winnipeg
A8B8C8,AB,390000,1998,1760,3,38 Lake St,4,Quebec
A9B9C9,QC,395000,1999,1780,1,39 Hill St,5,Halifax
A0B0C0,MB,400000,2000,1800,2,40 King St,1,Toronto
A1B1C1,NS,405000,2001,1820,3,41 Queen St,2,Ottawa
A2B2C2,ON,410000,2002,1840,1,42 Main St,3,Mississauga
A3B3C3,BC,415000,2003,1860,2,43 Bay St,4,Vancouver
A4B4C4,AB,420000,2004,1880,3,44 Maple St,5,Calgary
A5B5C5,QC,425000,2005,1900,1,45 Pine St,1,Edmonton
A6B6C6,MB,430000,2006,1920,2,46 Cedar St,2,Montreal
A7B7C7,NS,435000,2007,1940,3,47 Elm St,3,Winnipeg
A8B8C8,ON,440000,2008,1960,1,48 Lake St,4,Quebec
A9B9C9,BC,445000,2009,1980,2,49 Hill St,5,Halifax
A0B0C0,AB,450000,2010,2000,3,50 King St,1,Toronto
A1B1C1,QC,455000,2011,2020,1,51 Queen St,2,Ottawa
A2B2C2,MB,460000,2012,2040,2,52 Main St,3,Mississauga
A3B3C3,NS,465000,2013,2060,3,53 Bay St,4,Vancouver
A4B4C4,ON,470000,2014,2080,1,54 Maple St,5,Calgary
A5B5C5,BC,475000,2015,2100,2,55 Pine St,1,Edmonton
A6B6C6,AB,480000,2016,2120,3,56 Cedar St,2,Montreal
A7B7C7,QC,485000,2017,2140,1,57 Elm St,3,Winnipeg
A8B8C8,MB,490000,2018,2160,2,58 Lake St,4,Quebec
A9B9C9,NS,495000,2019,2180,3,59 Hill St,5,Halifax
A0B0C0,ON,500000,1990,2200,1,60 King St,1,Toronto
A1B1C1,BC,505000,1991,2220,2,61 Queen St,2,Ottawa
A2B2C2,AB,510000,1992,2240,3,62 Main St,3,Mississauga
A3B3C3,QC,515000,1993,2260,1,63 Bay St,4,Vancouver
A4B4C4,MB,520000,1994,2280,2,64 Maple St,5,Calgary
A5B5C5,NS,525000,1995,2300,3,65 Pine St,1,Edmonton
A6B6C6,ON,530000,1996,2320,1,66 Cedar St,2,Montreal
A7B7C7,BC,535000,1997,2340,2,67 Elm St,3,Winnipeg
A8B8C8,AB,540000,1998,2360,3,68 Lake St,4,Quebec
A9B9C9,QC,545000,1999,2380,1,69 Hill St,5,Halifax
A0B0C0,MB,550000,2000,2400,2,70 King St,1,Toronto
A1B1C1,NS,555000,2001,2420,3,71 Queen St,2,Ottawa
A2B2C2,ON,560000,2002,2440,1,72 Main St,3,Mississauga
A3B3C3,BC,565000,2003,2460,2,73 Bay St,4,Vancouver
A4B4C4,AB,570000,2004,2480,3,74 Maple St,5,Calgary
A5B5C5,QC,575000,2005,2500,1,75 Pine St,1,Edmonton
A6B6C6,MB,580000,2006,2520,2,76 Cedar St,2,Montreal
A7B7C7,NS,585000,2007,2540,3,77 Elm St,3,Winnipeg
A8B8C8,ON,590000,2008,2560,1,78 Lake St,4,Quebec
A9B9C9,BC,595000,2009,2580,2,79 Hill St,5,Halifax
A0B0C0,AB,600000,2010,2600,3,80 King St,1,Toronto
A1B1C1,QC,605000,2011,2620,1,81 Queen St,2,Ottawa
A2B2C2,MB,610000,2012,2640,2,82 Main St,3,Mississauga
A3B3C3,NS,615000,2013,2660,3,83 Bay St,4,Vancouver
A4B4C4,ON,620000,2014,2680,1,84 Maple St,5,Calgary
A5B5C5,BC,625000,2015,2700,2,85 Pine St,1,Edmonton
A6B6C6,AB,630000,2016,2720,3,86 Cedar St,2,Montreal
A7B7C7,QC,635000,2017,2740,1,87 Elm St,3,Winnipeg
A8B8C8,MB,640000,2018,2760,2,88 Lake St,4,Quebec
A9B9C9,NS,645000,2019,2780,3,89 Hill St,5,Halifax
A0B0C0,ON,650000,1990,2800,1,90 King St,1,Toronto
A1B1C1,BC,655000,1991,2820,2,91 Queen St,2,Ottawa
A2B2C2,AB,660000,1992,2840,3,92 Main St,3,Mississauga
A3B3C3,QC,665000,1993,2860,1,93 Bay St,4,Vancouver
A4B4C4,MB,670000,1994,2880,2,94 Maple St,5,Calgary
A5B5C5,NS,675000,1995,2900,3,95 Pine St,1,Edmonton
A6B6C6,ON,680000,1996,2920,1,96 Cedar St,2,Montreal
A7B7C7,BC,685000,1997,2940,2,97 Elm St,3,Winnipeg
A8B8C8,AB,690000,1998,2960,3,98 Lake St,4,Quebec
A9B9C9,QC,695000,1999,2980,1,99 Hill St,5,Halifax
A0B0C0,MB,700000,2000,3000,2,100 King St,1,Toronto
