address,city,province,postalCode,numBedroom,numBathroom,yearBuilt,mostRecentPriceAmount,mostRecentRentalPriceAmount,target
1 Queen St,Ottawa,BC,A1B1C1,2,2,1991,205000,1020,0
2 Main St,Mississauga,AB,A2B2C2,3,3,1992,210000,1040,1
3 Bay St,Vancouver,QC,A3B3C3,4,1,1993,215000,1060,1
4 Maple St,Calgary,MB,A4B4C4,5,2,1994,220000,1080,1
5 Pine St,Edmonton,NS,A5B5C5,1,3,1995,225000,1100,0
6 Cedar St,Montreal,ON,A6B6C6,2,1,1996,230000,1120,0
7 Elm St,Winnipeg,BC,A7B7C7,3,2,1997,235000,1140,1
8 Lake St,Quebec,AB,A8B8C8,4,3,1998,240000,1160,1
9 Hill St,Halifax,QC,A9B9C9,5,1,1999,245000,1180,1
10 King St,Toronto,MB,A0B0C0,1,2,2000,250000,1200,0
11 Queen St,Ottawa,NS,A1B1C1,2,3,2001,255000,1220,0
12 Main St,Mississauga,ON,A2B2C2,3,1,2002,260000,1240,1
13 Bay St,Vancouver,BC,A3B3C3,4,2,2003,265000,1260,1
14 Maple St,Calgary,AB,A4B4C4,5,3,2004,270000,1280,1
15 Pine St,Edmonton,QC,A5B5C5,1,1,2005,275000,1300,0
16 Cedar St,Montreal,MB,A6B6C6,2,2,2006,280000,1320,0
17 Elm St,Winnipeg,NS,A7B7C7,3,3,2007,285000,1340,1
18 Lake St,Quebec,ON,A8B8C8,4,1,2008,290000,1360,1
19 Hill St,Halifax,BC,A9B9C9,5,2,2009,295000,1380,1
20 King St,Toronto,AB,A0B0C0,1,3,2010,300000,1400,0
21 Queen St,Ottawa,QC,A1B1C1,2,1,2011,305000,1420,0
22 Main St,Mississauga,MB,A2B2C2,3,2,2012,310000,1440,1
23 Bay St,Vancouver,NS,A3B3C3,4,3,2013,315000,1460,1
24 Maple St,Calgary,ON,A4B4C4,5,1,2014,320000,1480,1
25 Pine St,Edmonton,BC,A5B5C5,1,2,2015,325000,1500,0
26 Cedar St,Montreal,AB,A6B6C6,2,3,2016,330000,1520,0
27 Elm St,Winnipeg,QC,A7B7C7,3,1,2017,335000,1540,1
28 Lake St,Quebec,MB,A8B8C8,4,2,2018,340000,1560,1
29 Hill St,Halifax,NS,A9B9C9,5,3,2019,345000,1580,1
30 King St,Toronto,ON,A0B0C0,1,1,1990,350000,1600,0
31 Queen St,Ottawa,BC,A1B1C1,2,2,1991,355000,1620,0
32 Main St,Mississauga,AB,A2B2C2,3,3,1992,360000,1640,1
33 Bay St,Vancouver,QC,A3B3C3,4,1,1993,365000,1660,1
34 Maple St,Calgary,MB,A4B4C4,5,2,1994,370000,1680,1
35 Pine St,Edmonton,NS,A5B5C5,1,3,1995,375000,1700,0
36 Cedar St,Montreal,ON,A6B6C6,2,1,1996,380000,1720,0
37 Elm St,Winnipeg,BC,A7B7C7,3,2,1997,385000,1740,1
38 Lake St,Quebec,AB,A8B8C8,4,3,1998,390000,1760,1
39 Hill St,Halifax,QC,A9B9C9,5,1,1999,395000,1780,1
40 King St,Toronto,MB,A0B0C0,1,2,2000,400000,1800,0
41 Queen St,Ottawa,NS,A1B1C1,2,3,2001,405000,1820,0
42 Main St,Mississauga,ON,A2B2C2,3,1,2002,410000,1840,1
43 Bay St,Vancouver,BC,A3B3C3,4,2,2003,415000,1860,1
44 Maple St,Calgary,AB,A4B4C4,5,3,2004,420000,1880,1
45 Pine St,Edmonton,QC,A5B5C5,1,1,2005,425000,1900,0
46 Cedar St,Montreal,MB,A6B6C6,2,2,2006,430000,1920,0
47 Elm St,Winnipeg,NS,A7B7C7,3,3,2007,435000,1940,1
48 Lake St,Quebec,ON,A8B8C8,4,1,2008,440000,1960,1
49 Hill St,Halifax,BC,A9B9C9,5,2,2009,445000,1980,1
50 King St,Toronto,AB,A0B0C0,1,3,2010,450000,2000,0
51 Queen St,Ottawa,QC,A1B1C1,2,1,2011,455000,2020,0
52 Main St,Mississauga,MB,A2B2C2,3,2,2012,460000,2040,1
53 Bay St,Vancouver,NS,A3B3C3,4,3,2013,465000,2060,1
54 Maple St,Calgary,ON,A4B4C4,5,1,2014,470000,2080,1
55 Pine St,Edmonton,BC,A5B5C5,1,2,2015,475000,2100,0
56 Cedar St,Montreal,AB,A6B6C6,2,3,2016,480000,2120,0
57 Elm St,Winnipeg,QC,A7B7C7,3,1,2017,485000,2140,1
58 Lake St,Quebec,MB,A8B8C8,4,2,2018,490000,2160,1
59 Hill St,Halifax,NS,A9B9C9,5,3,2019,495000,2180,1
60 King St,Toronto,ON,A0B0C0,1,1,1990,500000,2200,0
61 Queen St,Ottawa,BC,A1B1C1,2,2,1991,505000,2220,0
62 Main St,Mississauga,AB,A2B2C2,3,3,1992,510000,2240,1
63 Bay St,Vancouver,QC,A3B3C3,4,1,1993,515000,2260,1
64 Maple St,Calgary,MB,A4B4C4,5,2,1994,520000,2280,1
65 Pine St,Edmonton,NS,A5B5C5,1,3,1995,525000,2300,0
66 Cedar St,Montreal,ON,A6B6C6,2,1,1996,530000,2320,0
67 Elm St,Winnipeg,BC,A7B7C7,3,2,1997,535000,2340,1
68 Lake St,Quebec,AB,A8B8C8,4,3,1998,540000,2360,1
69 Hill St,Halifax,QC,A9B9C9,5,1,1999,545000,2380,1
70 King St,Toronto,MB,A0B0C0,1,2,2000,550000,2400,0
71 Queen St,Ottawa,NS,A1B1C1,2,3,2001,555000,2420,0
72 Main St,Mississauga,ON,A2B2C2,3,1,2002,560000,2440,1
73 Bay St,Vancouver,BC,A3B3C3,4,2,2003,565000,2460,1
74 Maple St,Calgary,AB,A4B4C4,5,3,2004,570000,2480,1
75 Pine St,Edmonton,QC,A5B5C5,1,1,2005,575000,2500,0
76 Cedar St,Montreal,MB,A6B6C6,2,2,2006,580000,2520,0
77 Elm St,Winnipeg,NS,A7B7C7,3,3,2007,585000,2540,1
78 Lake St,Quebec,ON,A8B8C8,4,1,2008,590000,2560,1
79 Hill St,Halifax,BC,A9B9C9,5,2,2009,595000,2580,1
80 King St,Toronto,AB,A0B0C0,1,3,2010,600000,2600,0
81 Queen St,Ottawa,QC,A1B1C1,2,1,2011,605000,2620,0
82 Main St,Mississauga,MB,A2B2C2,3,2,2012,610000,2640,1
83 Bay St,Vancouver,NS,A3B3C3,4,3,2013,615000,2660,1
84 Maple St,Calgary,ON,A4B4C4,5,1,2014,620000,2680,1
85 Pine St,Edmonton,BC,A5B5C5,1,2,2015,625000,2700,0
86 Cedar St,Montreal,AB,A6B6C6,2,3,2016,630000,2720,0
87 Elm St,Winnipeg,QC,A7B7C7,3,1,2017,635000,2740,1
88 Lake St,Quebec,MB,A8B8C8,4,2,2018,640000,2760,1
89 Hill St,Halifax,NS,A9B9C9,5,3,2019,645000,2780,1
90 King St,Toronto,ON,A0B0C0,1,1,1990,650000,2800,0
91 Queen St,Ottawa,BC,A1B1C1,2,2,1991,655000,2820,0
92 Main St,Mississauga,AB,A2B2C2,3,3,1992,660000,2840,1
93 Bay St,Vancouver,QC,A3B3C3,4,1,1993,665000,2860,1
94 Maple St,Calgary,MB,A4B4C4,5,2,1994,670000,2880,1
95 Pine St,Edmonton,NS,A5B5C5,1,3,1995,675000,2900,0
96 Cedar St,Montreal,ON,A6B6C6,2,1,1996,680000,2920,0
97 Elm St,Winnipeg,BC,A7B7C7,3,2,1997,685000,2940,1
98 Lake St,Quebec,AB,A8B8C8,4,3,1998,690000,2960,1
99 Hill St,Halifax,QC,A9B9C9,5,1,1999,695000,2980,1
100 King St,Toronto,MB,A0B0C0,1,2,2000,700000,3000,0
